Zacatepec,English Translation,Comment,
kəʔə,35_hand,,
anahʲ,7_left,,
agaʔaɲ,6_right,,
puʔuj,39_leg,,
tujojp,140_walk,,<tujoj-p walk-GR 'walks'
tuʔu,105_roadpath,,
haʔahtp,139_come,,
ihʃəmbiht,146_turn,,
nəjump,148_swim,,<nə-jun-p 1A-swim-GR 'I swim'
aʃəʔək,127_dirty,,
puʔuʃ,82_dust,,
neʔak,42_skin,,<ne-ʔak POSS1-skin 'my skin'
həʔəʃk,38_back,,
hoʔot,43_belly,,
pahk,41_bone,,
tiʔintʲ,44_intestines,,
nij,46_liver,,
tsiʔitsk,45_breast,,
kejkʲ,36_shoulder,,
njihaw,167_know,,
winmaʔajp,168_think,,<winmaʔaj-p think-GR 'thinks'
tsəʔəkəp,182_fear,,<tsəʔəkə-p fear-GR 'fears'
nepʲ,40_blood,,
kowahk,27_head,,
jokt,37_neck,,
kowahkwaʔaj,28_hair,,<kowahk 'head' waʔaj 'hear'
həp,30_nose,,
ʃahp,184_breathe,,<ʃah-p breath-GR 'breaths'
ʃukp,166_sniffsmell,,<ʃuk-p sniff/smell-GR 'sniffs, smells'
aʔaw,32_mouth,,
təʔəts,34_tooth,,
toʔots,33_tongue,,
ʃikp,169_laugh,,<ʃik-p laugh-GR 'laughs'
jaʔaʃp,170_cry,,<jaʔaʃ-p cry-GR 'cries'
əʔətsp,185_vomit,,<əʔəts-p vomit-GR 'vomits'
tsuhp,158_spit,,<tsuh-p spit-GR 'spits'
kaʔajp,153_eat,,<kaʔaj-p eat-GR 'eats'
pujp,152_chew,,<puj-p chew-GR 'chews'
tokʃətʲuʔump,196_cook,,<tokʃə-tʲuʔum-p food-prepare-GR 'prepares food'
uʔukp,154_drink,,<uʔuk-p drink-GR 'drinks'
tsuʔutsp,155_bite,,<tsuʔuts-p bite-GR 'bites'
jahktsiʔitʲp,156_suck,,<jahk-tsiʔitʲ-p CAUS-suck-GR
taʔatsk,31_ear,,
modoʔop,165_hear,,<modoʔo-p hear-GR 'hears'
wiʔin,29_eye,,
winiʔihʃp,164_see,,
maʔajagahp,157_yawn,,
maʔap,160_sleep,,<maʔa-p sleep-GR 'sleeps'
nejokəp,145_liedown,,<ne-jokə-p ?-liedown-GR 'lies down'
kumaʔap,159_dream,,<kumaʔa-p dream-GR 'dreams'
uɲajp,143_sit,,<uɲaj-p sit-GR 'sits'
tanajp,142_stand,,<tanaj-p stand-GR 'stands'
haʔaj,60_person,,
jətʲəhk,61_man,,
toʃtʲəhk,62_woman,,
pikuŋ,63_child,,
niʔitʲəhk,67_husband,,
tʲoʃtʲəhk,68_wife,,<j-toʃtʲəhk POSS3-woman 'his wife'
taʔak,65_mother,,
teʔetʲ,66_father,,
təhk,102_house,,
məʔətʲəhk,101_thatchroof,,
jiʔitʲəhk,64_name,,
waʔamp,189_say,,<waʔam-p say-GR 'says'
tepʃʲ,103_rope,,
aʔatsuʔump,186_tieup,,<aʔatsuʔum-p tie.up-GR 'ties up'
ʃujp,174_sew,,<ʃuj-p sew-GR 'sews'
ʃuʔuɲ,104_needle,,
tuhp,180_hunt,,<tuh-p hunt-GR 'hunts'
keptʲiʔipʃp,197_shoot,,<keptʲiʔipʃ-p shoot-GR 'shoots'
kuʔump,191_stab,,<kuʔum-p stab-GR 'stabs'
wohp,176_hit,,<woh-p hit-GR 'hits'
matsp,193_steal,,<mats-p steal-GR 'steals'
jahkoʔokp,163_kill,,<jahk-oʔok-p CAUS-die-GR 'kills'
oʔok,162_die,,
hujahtp,161_live,,<hujaht-p live-GR 'lives'
ekʃp,190_scratch,,<ekʃ-p scratch-GR 'scratches'
puhʃp,177_cut,,<puhʃ-p cut-GR 'cuts'
kepʲ,98_wood,,
pʲəhwakʃp,178_split,,<j-pəhwakʃ-p 3SG-split-GR 'splits'
həhp,119_sharp,,
atuk,120_bluntdull,,
tuʔump,198_work,,<tuʔum-p work-GR 'works'
nip,195_plant,,
winihʃʲp,194_choose,,<winihʃʲ-p choose-GR 'chooses'
jahkjoʔompʲ,141_grow,,<jahk-joʔom-pʲ CAUS-grow-GR 'grows'
kiʃpəhkp,188_swell,,<kiʃpəhk-p swell-GR 'swells'
winwiʔitʲp,187_squeeze,,<winwiʔitʲ-p squeeze-GR 'squeezes'
mʲahtʲp,181_hold,,<j-mahtʲ-p 3SG-hold-GR 'holds'
nʲedajap►,179_dig,,<j-nedaja-p 3SG-dig-GR 'diggs'
hʲuʔujp,192_buy,,<j-huʔuj-p 3SG-buy-GR 'buys'
jahkawaatʲp,199_open,,<jahk-awaatʲ-p CAUS-open-GR 'opens'
kʲapədihtʲ,175_pound,,<kʲapədiht-j pound-GR 'pounds'
iʃkuhp,150_throw,,<iʃkuh-p throw-GR  'throws'
kedaʔap,144_fall,,<kedaʔa-p fall-GR  'falls'
uk,47_dog,,
hoʔon,48_bird,,
