Zacatepec,English Translation,Comment,
tutuʔutʲ,56_egg,,
hʲəʔəmk,59_feather,,<j-həʔəmk  POSS3-feather 'his/its feather'
kʲaʔakʲ ,58_wing,,<j-kaʔakʲ POSS3-wing 'his/its wing'
kaʔagədihtp,149_flyverb,,
tsuk,53_rat,,
tsuʔutʲ,90_meatflesh,,
omp,92_fatgrease,,
piʔiʃʲ,57_tail,,
tsaʔaɲ,50_snake,,
tənək,51_worm,,
at,52_louse,,
uʔuʃ,55_mosquito,,
poʔoʃp,54_spider,,
ahkʃ,49_fish,,
puʔuts,128_rotten,,
nak,96_branch,,
aʔaj,97_leaf,,
oʃʲk,95_root,,
pəhʲ,100_flower,,
uhtstəʔəm,93_fruit,,
aʔajuhts,99_grass,,
naaʃ,81_earthsoil,,
tsaʔa,80_stone,,
puʔunaʔaʃ,83_sand,,
nəʔə,74_water,,
məhnəʔə,76_sea,,<məh-nəʔə big-water
kaʔan,91_salt,,
nəʔəʔamehʲ,75_lake,,
juʔukhotʲ,94_woodsforest,,
tsahp,73_sky,,
poʔo,71_moon,,
maʔatsaʔa,72_star,,
hok,85_cloud,,
tuʔuhok,87_fog,,
tuʔu,84_rain,,
anaʔaw,88_thunder,,
wintsuk,89_lightning,,
poh,86_wind,,
piʔiʃp,171_blow,,<piʔiʃ-p blow-GR 'blows'
an,133_warm,,
pakʲ,134_cold,,
jahktəʔətʲp,135_dry,,<jahk-təʔətʲ-p CAUS-dry-GR 'make it dry'
ʃoʔok,136_wet,,
himtʲ,130_heavy,,
həʔənjank,77_fire,,
njəkpʲ,172_burn,,<njək-pʲ burn-GR 'burns'
həʔənok,78_smoke,,
həʔəmbuk,79_ash,,
jək,106_black,,
poʔop,107_white,,
tsapts,108_red,,
puʔuts,110_yellow,,
tsuʃk,109_green,,
muʔutsk,112_small,,
məh,111_big,,
kon,114_short,,
joɲ,113_long,,
peh,116_thin,,
jeʔekʲ,115_thick,,
kuʔuts,117_narrow,,
məhwiʔin,118_wide,,
paʔamp,123_painfulsick,,
wintsək,121_shyashamed,,
məhaaɲ,122_old,,
hemʲ,137_new,,
oj,124_good,,
kahjojə,125_bad,,
təja,126_correcttrue,,
koʔots,70_night,,
ʃəʔəɲ,69_day,,
huməht,5_year,,
wanaʔan,18_when,,
nejuʔutsp,151_hide,,<ne-juʔuts-p PROGR-hide-GR 'is hiding himself'
awembaht,147_climb,,
ham,26_at,,
təgoʔotʲ,25_ininside,,
nigəhʃp,23_above,,
patkʲeʔep,24_below,,
jəʔə,20_this,,
hamədə,21_that,,
wingon,132_near,,
hagam,131_far,,
maʔatsow,17_where,,
əʔəts,8_i,,
mihts,11_yousg,,
jəʔə,12_heshe,,
əʔətsətʲ,10_weallincl,,
miʔidətʲ,13_theyall,,
tiʔi ko,15_what,,
pən,16_who,,
jəʔəhtʲ,138_other,,
niʔihtʲətʲ,129_all,,
its,22_and,,
ntsoʔo,19_how,,
kah,14_nonot,,
matʲoʔow,183_count,,IMP
tuʔuk,1_one,,
mahtsk,2_two,,
təgəʔək,3_three,,
maktaʔaʃk,4_four,,
