Juquila,English Translation,Comment
kəʔə,35_hand,
anaʔah,7_left,
agaʔaɲ,6_right,
puʔuj,39_leg,
joʔoj,140_walk,<joʔoj PAST 3SG
tuʔu,105_roadpath,
haʔahtp,139_come,<haʔaht-p come-GR 'comes'
kohəmbət,146_turn,<ko-həmb-ət head-turn-PAST 'turn the head'
nəgəjaʔajəp,148_swim,<nə-gəjaʔaj-əp water-swim?-GR 'swims'
aʐəʔək,127_dirty,
puʔuʃ,82_dust,
niʔak,42_skin,<ni-ʔak POSS1-skin 'my skin'
həwahk,38_back,
hot,43_belly,
pahk,41_bone,
tiʔintʲ,44_intestines,
hot,46_liver,
tsiʔitsk,45_breast,
kehkʲ,36_shoulder,
ʣəkəm,182_fear,<n-tsəkəm 'I fear'
neʔepʲ,40_blood,
kuwahk,27_head,
jokn,37_neck,
waʔaj,28_hair,
həʔəhp,30_nose,
ʃahp,184_breathe,<ʃah-p breath-GR 'breaths'
ʃuʔukum,166_sniffsmell,<ʃuʔuk-um sniff-GR 'smells'
aʔa,32_mouth,
təʔəts,34_tooth,
jaʔan,33_tongue,
ʃikəm,169_laugh,<ʃik-əm laugh-GR 'laughs'
hiʔip,170_cry,IMP
əʔətsə,185_vomit, IMP
tsuhp,158_spit,<tsuh-p spit-GR 'spits'
kaʔap,153_eat,<kaʔa-p eat-GR 'eats'
toʃojtʲuʔum,196_cook,<toʃ-ojtʲuʔum food-prepare 'prepare food'
ukəm,154_drink,<uk-əm drink-GR 'drinks'
taʔatsk,31_ear,
mdoʔohəm,165_hear,<mdoʔoh-əm hear-GR 'hears'
wiʔin,29_eye,
ihʃəm,164_see,<ihʃ-əm see-GR 'sees'
maʔajagahəm,157_yawn,<maʔaj-agah-əm sleep-yawn-GR 'yawns'
maʔajəm,160_sleep,<maʔaj-əm sleep-GR 'sleeps'
najoʔkəm,145_liedown,<najoʔk-əm liedown-GR 'lies down'
gumaʔajəm,159_dream,<n-ku-maʔaj-əm 1A-head?-dream-GR 'I dream'
uʔuɲə,143_sit,<uʔuɲ-ə sit-IMP 'sit!'
taʔanə,142_stand,<taʔan-ə stand-IMP 'stand!'
jejtʲəhk,61_man,
toʃtʲəhk,62_woman,
miʃuʔuŋ,63_child,
ɲaʔaj,67_husband,<n-jaʔaj POSS1-person 'my husband'
ɲidoʔoʃʲ,68_wife,<n-jidoʔoʃʲ POSS1-wife 'my wife'
taʔak,65_mother,
teʔetʲ,66_father,
təhk,102_house,
məʔəj tʲəhk,101_thatchroof,<məʔəj j-təhk thatch POSS3-house 'house's thatch roof'
ʃəʔə,64_name,
kahʃp,189_say,<kahʃ-p say-GR 'says'
tehʃʲ,103_rope,
ʃohtsp,186_tieup,<ʃohts-p tieup-GR 'ties up'
ʃiʔipʲ,174_sew,<ʃiʔi-pʲ sew-GR 'sews'
tuhp,180_hunt,<tuh-p hunt-GR 'hunts'
kuʔump,191_stab,<kuʔum-p stab-GR 'stabs'
wohp,176_hit,<woh-p hit-GR 'hits'
maʔtsp,193_steal,<maʔts-p steal-GR 'steals'
