Pantepec,English Translation,Comment
wʲəʔədu,175_pound,<j-wəʔəd-u A3-pound-COM 'he pounded'
wʲəpəʔəw,150_throw,<j-wəpəʔəw A3-throw 'he threw'
kuʔunu,144_fall,<kuʔun-u fall-COM 'fell'
tuwi,47_dog,
paloma,48_bird,Spanish
poʔoka,56_egg,
pəhk,59_feather,
sʲaha►,58_wing,<j-saha POSS3-wing 'his wing'
kejeʔeju,149_flyverb,<kejeʔej-u fly-COM
tsuhk,53_rat,
sʲis,90_meatflesh,<j-sis POSS3-meat 'his/her/its meat'
manteka,92_fatgrease,Spanish
tʲuʔuts,57_tail,<j-tuʔuts POSS3-tail 'his tail'
tsat,50_snake,
tot,51_worm,
awat,52_louse,
usuk,55_mosquito,
aʔamu,54_spider,
punu,49_fish,
pujtsu,128_rotten,
jamwets,96_branch,
ahʲ,97_leaf,
wʲatsi,95_root,
həjə,100_flower,
təʔəp,93_fruit,
tanə,99_grass,
nas,81_earthsoil,
tsaʔ,80_stone,
poʔojo,83_sand,
nəʔ,74_water,
poju,173_flow,<poj-u run-COM 'ran'
hopak,76_sea,
kana,91_salt,
meja,75_lake,
tsaʔamə,94_woodsforest,
tsahp,73_sky,
mamantʲuwe,71_moon,
matsa,72_star,
oʔona,85_cloud,
oʔona,87_fog,
tuh,84_rain,
məhə,88_thunder,
neʔemaʔ,89_lightning,
sawa,86_wind,
sawa,171_blow,
niŋə,133_warm,
pakak,134_cold,
təhtsu,135_dry,
tsoko,136_wet,
hemets,130_heavy,
huktək,77_fire,
pombow,172_burn,
hoko,78_smoke,
hap,79_ash,
jəhkək,106_black,
pobo,107_white,
tsawas,108_red,
puʔutʲ,110_yellow,
tsuhtsu,109_green,
tʲepə,112_small,
məhabə,111_big,
tʲətəpə,114_short,
pəhiʔiwə,113_long,
kajiʔiwə,116_thin,
tsaŋawə,115_thick,
konowə,117_narrow,
peʔtsi,118_wide,
toʔobija,123_painfulsick,
naʔtseʔewə,121_shyashamed,
tsaʔampə,122_old,
homʲewə,137_new,
wəbə,124_good,
malowə,125_bad,<malo-wə  malo(Spanish)-ADJ bad-ADJ
wəbə,126_correcttrue,
tsuʔ,70_night,
hama,69_day,
ame,5_year,
huhtʲeʔek,18_when,
kəwəʔənu,151_hide,<kəwəʔən-u hide-COM 'hid'
kiʔimu,147_climb,<kiʔim-u climb-COM 'climbed'
homo,25_ininside,
wiŋəsi,23_above,
kəʔji,24_below,
jənə,20_this,
hikə,21_that,
tome,132_near,
jaj,131_far,
huwə,17_where,
əjt,8_i,
miht,11_yousg,
hikə,12_heshe,
ətət,10_weallincl,
hiktʲa,13_theyall,
tijə,15_what,
eja,16_who,
ejawə,138_other,
mumu,129_all,
huʔutsə,19_how,
hinda,14_nonot,
maʔajə,183_count,IMP
tumə,1_one,
metsa,2_two,
tukaj,3_three,
makʃkuj,4_four,
