Protomixe,English Translation
ʔoj-in,6_right
ʔïːtsi-at,10_weallincl
juk-mï,23_above
kïʔ,35_hand
huʔ-pak,39_leg
tihn-tsaj,44_intestines
hoːht,46_liver
ʔuku,47_dog
ʔakʃa,49_fish
tsaːnaj,50_snake
tsaːʔnaj,50_snake
tuʔt-i,56_egg
tuʔt-ik,56_egg
keːk-an,58_wing
teːtE,66_father
nï-jaʔwe,67_husband
hïhn,77_fire
puʔʃu,82_dust
puʔʃum,82_dust
puʔ,83_sand
ʔan-i-waj,88_thunder
ʔona,92_fatgrease
tiktsik,95_root
mïhj,101_thatchroof
naːhʃ-pi,114_short
naːhʃ-pik,114_short
mapʃi,115_thick
mapʃin,115_thick
pehaj,116_thin
tsoʔj,121_shyashamed
tsoʔʲ-tuːn,121_shyashamed
pïk,123_painfulsick
aw-ʃïːʔk-ʔïj,127_dirty
hatuʔuk,138_other
jeːʔk,141_grow
kaʔw,144_fall
hup,146_turn
pet,147_climb
puʔj,152_chew
kaj,153_eat
tsiʔts,156_suck
hutVk,161_live
ʔoːʔk,162_die
jak-ʔoːʔk,163_kill
jaːʃ - jaʔʃ,170_cry
hïts,175_pound
wop,176_hit
jum,179_dig
tsïʔk-ʔʒj,182_fear
ʃeh,184_breathe
tih,186_tieup
timam,188_swell
