Protomixezoque,English Translation
tuʔ,1_one
tum,1_one
mets-,2_two
tuk-,3_three
maktaːs-,4_four
ʔaw-nah-in,7_left
ʔïːtsi-ʔïts,8_i
he,12_heshe
heʔ,12_heshe
ti,15_what
pïn,16_who
jïʔ,20_this
kïs-mï,23_above
ko-pak,27_head
waj,28_hair
waʔj,28_hair
win,29_eye
hïp,30_nose
hïpï,30_nose
ʔaw,32_mouth
toːts,33_tongue
tïːts,34_tooth
kïʔ,35_hand
joʔk,37_neck
joʔk-tu,37_neck
puj,39_leg
nïʔpin,40_blood
pak,41_bone
ʔak,42_skin
ʔakï,42_skin
tsuʔts-i,45_breast
ʔuku,47_dog
hon,48_bird
ʔaksa,49_fish
ʔaːwat,52_louse
tsuːk,53_rat
ʔuːsu,55_mosquito
ʔuːsuk,55_mosquito
heːhe,55_mosquito
pïk,59_feather
hajá,60_person
hajáw,60_person
hajá,61_man
hajáw,61_man
ʔunV,63_child
ʔunVk,63_child
sïw,64_name
tsuːʔ,70_night
pojʔa,71_moon
maːtsaʔk,72_star
maːtsaʔak,72_star
tsap,73_sky
tsap-hï,73_sky
nïːʔ,74_water
meja,76_sea
mehja,76_sea
hukʔ-ut,77_fire
hoko,78_smoke
kuj-ham,79_ash
tsaːʔ,80_stone
naːs,81_earthsoil
tuːh,84_rain
tsuʔts,90_meatflesh
sisi,90_meatflesh
sis,90_meatflesh
kaːna,91_salt
tïm,93_fruit
ʔaj,97_leaf
kuj,98_wood
kïpi,98_wood
pïhi,100_flower
pïhik,100_flower
tïk,102_house
tsaj,103_rope
tuːʔ-ʔaw,105_roadpath
jïk,106_black
jïkït,106_black
poːpʔoʔ,107_white
tsapats,108_red
tsus,109_green
tsusu,109_green
tsusuk,109_green
puʔts,110_yellow
puʔtsV,110_yellow
mutsVC,112_small
pïhi,113_long
pïhik,113_long
kahi,117_narrow
meːhʔ,119_sharp
toːʔj-a,123_painfulsick
ʔojV,124_good
puːtsʔ,128_rotten
mumu,129_all
hemets,130_heavy
pakVk,134_cold
tïːts,135_dry
home,137_new
joʔj,140_walk
tenaj,142_stand
tsïːnaj,143_sit
jun,148_swim
keːkʔ,149_flyverb
ʔuːʔk,154_drink
kïːʔs,155_bite
tsuʔts,156_suck
tsuh,158_spit
maːhʔ,160_sleep
ʔis,164_see
matow,165_hear
siːkʔ,169_laugh
poh,171_blow
toj,172_burn
naʔk,174_sew
suj,174_sew
tsuks,177_cut
tah,179_dig
tuh,180_hunt
ʔïːʔts,185_vomit
mïːʔks,187_squeeze
tsuks,190_scratch
kum,191_stab
meːʔts,193_steal
niːp,195_plant
tïp,197_shoot
