Tutla,English Translation,Comment
kəʔə,35_hand,
anahtʲ,7_left,
aoj,6_right,
puʔuj,39_leg,
joʔoj,140_walk,Imperative
tuʔu,105_roadpath,
haʔat,139_come,Imperative
wimbit,146_turn,Imperative 
jaʔaj,148_swim,Imperative
kap wjaʔadzətʲ,127_dirty, <'not clean'
naʔaʃʲ puʔu,82_dust,
niʔkʃ,42_skin,
həʔəʃ,38_back,
moʃ,43_belly,
pahk,41_bone,
tiʔintʲ,44_intestines,
hoʔot,46_liver,
tsits,45_breast,
kejkʲ,36_shoulder,
wihjahtən,167_know, < wihʲ-ahtən know-? 'knowledge' < wihʲ- 'to know'
winmaʔaj,168_think, <win-maʔaj think-? 'think (about it)' <win- 'to think'
tsəgəʔəw,182_fear, <tsəg-əʔəw  fear-? 'fear!' < tsəg- 'to fear'
neʔpʲ,40_blood,
kubahk,27_head,
joʔk,37_neck,
kuwaʔaj,28_hair,
həbut,30_nose,
ʃah,184_breathe, Imperative
ʃugat,166_sniffsmell,Imperative
aʔaw,32_mouth,
təʔəts,34_tooth,
toʔots,33_tongue,
ʃiʔik,169_laugh,Imperative
jaʔaʃ,170_cry,Imperative
əʔəts,185_vomit,Imperative
tsuh,158_spit,Imperative
kaj,153_eat,Imperative
abuʔujəʔəj,152_chew,Imperative
jahkəʔəw,196_cook, <jahk-əʔəw  make-eat 'cook!' 
uʔuk,154_drink,Imperative
jahtsuʔutsəʔə,155_bite,Imperative
tsiʔits,156_suck,Imperative
taʔats,31_ear,
mədow,165_hear,Imperative
wiʔin,29_eye,
iʃ,164_see,Imperative
awoʔots,157_yawn,Imperative
maw,160_sleep,Imperative
nikʲoʔogəʔə,145_liedown,Imperative
kumaw,159_dream, < kum-aw  dream-IMP 'dream!'
uɲaw,143_sit, < uɲ-aw  sit-IMP 'sit!'
tənaw,142_stand, tən-aw stand-IMP 'stand!'
haʔaj,60_person,
jətʲəhk,61_man,
təʃʲəhk,62_woman,
jajnaʔk,63_child,
najapʲ,67_husband,
təʃʲəhk,68_wife,
tah,65_mother,
teʔetʲ,66_father,
təhk,102_house,
məʔəj,101_thatchroof,
ʃəʔəw,64_name,
nəmaʔaw,189_say, < nəm-aʔaw say-IMP 'say (it)' 
ʃaʔatʲ,103_rope,
ʃots,186_tieup,Imperative
ʃuj,174_sew,Imperative
ʃuʔuɲ,104_needle,
pabow,180_hunt, pab-ow  hunt-IMP 'hunt (it)!'
tuh,197_shoot,Imperative
kum,191_stab,Imperatie
wop,176_hit,Imperative
maʔats,193_steal,Imperative
jahʔæʔækʲ,163_kill, < jah-ʔæʔækʲ  CAUS-die-? 'he killed (it)'  
aʔakʲ,162_die,Imperative
hʲuhkjahtən,161_live, hʲuhkjahtən 'life' < -jaht- 'to live/exist' 
woʔok,190_scratch,Imperative
puʃ,177_cut,Imperative
kepʲ,98_wood,
jahwakʃ,178_split, < jah-wakʃ  CAUS-split 'split (it)!' < jahwakʃ- 'to split'
həhpʃuʔuɲ,119_sharp,  
həhmuʔum,120_bluntdull,
tuɲ,198_work, Imperative < tun- 'to work'
koh,195_plant,Imperative
winiʔiʃ,194_choose, Imperative 
jeʔekʲ,141_grow, jeʔek-j grow-PPL < jeʔek- 'to grow'
jahkiʔiʃəʔəj,188_swell, <jahk-iʔiʃ-əʔəj CAUS-swell-PPL 'swollen' < iʔiʃ- 'to swell'
məkʃ,187_squeeze, Imperative
mədaʔt,181_hold, < mət-aʔt hold-? < mət- 'to hold'
nədahəʔəw,179_dig, <nədah-əʔəw dig-IMP 'dig (it)!' 
huj,192_buy,Imperative
awaʔats,199_open, < aw-aʔats open-PPL 'opened' < aw- 'to open' 
maʔaw,175_pound, Imperative
kaʔtskaʔak,150_throw, < kaʔts-kaʔak trow-? 'trow (it)' < kaʔts- 'to throw' 
kaʔaw,144_fall, <'he fell down'
uk,47_dog,
hoʔon,48_bird,
tuʔutʲ,56_egg,
pəht,59_feather,
kaʔak,58_wing,
hajəj,149_flyverb, < haj-əj fly-IMP 'fly!' < haj- 'to fly'
tsuʔuk,53_rat,
tsuʔutʲ,90_meatflesh,
on,92_fatgrease,
piʔiʃʲ,57_tail,
tsaʔaɲ,50_snake,
təʔənk,51_worm,
aʔat,52_louse,
pəʔəʃ,55_mosquito,
poʔoʃʲ,54_spider,
keʔepʲ,49_fish,
puʔuts,128_rotten,
kəʔəʔakʃ,96_branch,
aʔaj,97_leaf,
tiks,95_root,
pəhʲ,100_flower,
təʔəm,93_fruit,
uhts,99_grass,
naʔaʃ,81_earthsoil,
tsaʔa,80_stone,
puʔu,83_sand,
nəʔə,74_water,
jæʔæpʲ,173_flow, < jæʔæp-ʲ flow-GR  'flows' < jæʔæp- 'to flow'
mehʲ,76_sea,
kaʔan,91_salt,
nəʔagom,75_lake,
juʔuk,94_woodsforest,
tsahp,73_sky,
poʔo,71_moon,
matsaʔa,72_star,
nəmaʔa,85_cloud,
nəmæʔænk,87_fog,
tunəʔə,84_rain,
anaʔa,88_thunder,
wutsuk,89_lightning,
poh,86_wind,
pohp,171_blow, < poh-p  blow-GR 'it blows' < poh- 'to blow'
ambə,133_warm,
təʔətʲ,134_cold,
təʔəts,135_dry, Imperative
ʃoʔok,136_wet,
hempʃʲ,130_heavy,
jəʔən,77_fire,
toj,172_burn, < burnt
hok,78_smoke,
kujaʔam,79_ash,
tsiʃʲ,106_black,
poʔop,107_white,
tsaps,108_red,
puʔts,110_yellow,
tsuʃ,109_green,
muts,112_small,
məh,111_big,
kon,114_short,
joɲ,113_long,
pehʲ,116_thin,
mapʃʲ,115_thick,
ʃuʔuts,117_narrow,
məhwiʔin,118_wide,
tsaʔatʲ,123_painfulsick,
tsujuʔun,121_shyashamed,
amdəhk,122_old,
hemʲ,137_new,
oj,124_good,
hawək,125_bad,
haʔantʲ,126_correcttrue,
koʔots,70_night,
ʃəʔəw,69_day,
həməht,5_year,
mənaʔa,18_when,
nəjuʔutsəʔə,151_hide,Imperative 
pat,147_climb,Imperative
majəʔə-həɲ,26_at, < majəʔə-həɲ at-above
təgoʔotʲ,25_ininside, <təjk-oʔotʲ house-LOC  'inside the house' 
nəgəʃ,23_above,
abat,24_below,
adaʔa,20_this,
jəʔə,21_that,
wingon,132_near,
hagam,131_far,
maʔa,17_where,
əʔətʲ,8_I,
miʔitʲ,11_yousg,
jeʔe,12_heshe,
ətʲʔahtəm,10_weallincl,
jeʔahkeʃʲ,13_theyall,
tiʔi,15_what,
pən,16_who,
wiʔimba,138_other,
ətʲʔahtəm,129_all,
nehpaʔa,22_and,
tiʔihpaʔa,22_and,
neh,19_how,
kaʔp,14_nonot,
mətʲow,183_count, < mətʲ-ow count-IMPER 'count!' < mətʲ- 'to count'
tuʔuk,1_one,
matsk,2_two,
təgəʔək,3_three,
mədaʔaʃ,4_four,
