Tamazulapam,English Translation,Comment,
heʔemtʲ,130_heavy,,
həʔən,77_fire,,
tsaʔaj,172_burn,,
haʔam,79_ash,,
jəhk,106_black,,
poʔop,107_white,,
tsahpts,108_red,,
puʔuts,110_yellow,,
tsuʃk,109_green,,
mətsk,112_small,,
məh,111_big,,
wətkiʔipʲ,114_short,,
jeʔeɲ,113_long,,
pehʲ,116_thin,,
həməh,115_thick,,
hənmətsk,117_narrow,,
məhweʔen,118_wide,,
pəhnaʃp,123_painfulsick,,
həndzəʔəkʲ,121_shyashamed,,
məhaʔaj,122_old,,
heʔemʲ,137_new,,
ehjaʔaj,124_good,,
keʔej,125_bad,,
eʔej,126_correcttrue,,
koʔots,70_night,,
ʃəʔəɲ,69_day,,
həməht,5_year,,
huʔun,18_when,,
nijuʔuʔdzəp,151_hide,, <ni-juʔuʔdz-əp ?-hide-IMP 'hide!'
pat,147_climb,,<pat IMP 'climb!'
ham,26_at,,
jetʲpʲ,25_ininside,,
əbətkiʃpʲ,23_above,,
pətkiʔipʲ,24_below,,
jaʔat,20_this,,
ʃjeʔet,21_that,,
həngon,132_near,,
həgam,131_far,,
maʔa,17_where,,
əhts,8_i,,
mehts,11_yousg,,
jəʔə,12_heshe,,
ədəmət,10_weallincl,,
jəhət,13_theyall,,
teʔe,15_what,,
pən,16_who,,
wenpa,138_other,,
namukət,129_all,,
həts,22_and,,
soʔo,19_how,,
kat,14_nonot,,
mədʲow,183_count,,
tuʔuk,1_one,,
matsk,2_two,,
təgəʔək,3_three,,
taʔaʃk,4_four,,
