Tamazulapam,English Translation,Comment,
kəʔə,35_hand,,
anaʔangʲə,7_left,,
joʔoj,140_walk,,<joʔoj  IMP 'walk!'
tuʔu,105_roadpath,,
hɒtp,139_come,,<hɒt-p  come-GR 'comes'
puʔuʃ,82_dust,,
ak,42_skin,,
həʔəʃk,38_back,,
hoʔoht,43_belly,,
pɒhk,41_bone,,
►,44_intestines,,
►,46_liver,,
tsetsk,45_breast,,
hʲahtʲpʲ,167_know,, <hʲahtʲ-pʲ  know-GR 'knows'
►,168_think,,
tsegʲəpʲ,182_fear,,<tsekʲ-əpʲ  fear-GR 'fears'
nəʔəpʲ,40_blood,,
kəwahk,27_head,,
►,37_neck,,
waʔaj,28_hair,,
həʔəhp,30_nose,,
ʃahp,184_breathe,, <ʃah-p breath-GR 'breaths'
ʃuʔgʲəp►,166_sniffsmell,, <ʃuʔkʲ-əp smell-GR 'smells'
aaw,32_mouth,,
teʔehts,34_tooth,,
toʔohts,33_tongue,,
ʃekp,169_laugh,,<ʃek-p laugh-GR 'laughs'
jaʔaʃp,170_cry,,<jaʔaʃ-p cry-GR 'cries'
,185_vomit,,
tsuh,158_spit,, <tsuh IMP 'spit!'
kaʔapʲ,153_eat,, <kaʔap-j  eat-GR 'eats'
,196_cook,,
ukp,154_drink,, <uk-p drink-GR 'drinks'
,156_suck,,
taʔatsk,31_ear,,
mədoʔop,165_hear,, <mədoʔo-p  hear-GR 'hears'
weʔen,29_eye,,
eʃp,164_see,, <eʃ-p see-GR 'sees'
maʔaj,160_sleep,, <maʔaj IMP 'sleep!'
nəgjoʔoga,145_liedown,,
kəmaʔap,159_dream,,<kə-maʔa-p ?-sleep-GR 'dreams'
tsənaʔapʲ,143_sit,,<tsənaʔa-pj sit-GR 'sits'
tənaʔapʲ,142_stand,,<tənaʔa-pj stand-GR 'stands'
hɒʔaj,60_person,,
jadʲəhk,61_man,,
taʃtʲəhk,62_woman,,
miʃʲ,63_child,,
himʲəʔət,67_husband,,
tʲoʃtʲəhk,68_wife,,
taʃak,65_mother,,
teʔetʲ,66_father,,
təhk,102_house,,
məj,101_thatchroof,,
ʃəʔə,64_name,,
nəgahpʃ,189_say,,<nəga-p-ʃ say-GR-GR 'say to me'
tepʃʲ,103_rope,,
wəʔən,186_tieup,,<wəʔən IMP 'tie.up!'
ʃiʔij,174_sew,,<ʃiʔij IMP 'sew!'
ʃuuʔɲ,104_needle,,
tepʃp,197_shoot,, <tepʃ-p shoot-GR 'shoots'
wepʲ,176_hit,,<wep-j  hit-GR 'hits' 
həgoʔok,163_kill,,<hək-oʔok CAUS-die 'kill!'
oʔok,162_die,,
huʔuhkʲ,161_live,,<huʔuhk-j live-GR 'lives'
tsakʃ,177_cut,, <tsak-ʃ cut-GR 'cuts'
kiʔipʲ,98_wood,,
həʔəhp,119_sharp,,
tuʔuŋ,198_work,,
ehʃ,194_choose,,<ehʃ IMP 'choose'
jakp,141_grow,,<jak-p grow-GR 'grows'
keʔeʃp,188_swell,,<keʔeʃ-p swell-GR 'swells'
weʔet,187_squeeze,,<weʔet IMP 'squeeze!'
məgədatʲp,181_hold,,<məgədatʲ-p hold-GR 'holds'
tah,179_dig,,<tah IMP 'dig!'
hij,192_buy,,<hij IMP 'buy'
həgəwaʔats,199_open,,<hək-əwaʔats CAUS-open 'open!'
kuh,150_throw,,<kuh IMP 'throw!'
kədaʔap,144_fall,,<kədaʔa-p fall-GR 'falls'
uk,47_dog,,
hoʔon,48_bird,,
tətuʔutʲ,56_egg,,
pəhk,59_feather,,
kahkəʔəkp►,149_flyverb,,<kahk-əʔək-p wing-fly-GR 'flies'
tsuʔutʲ,90_meatflesh,,
on,92_fatgrease,,
tsaʔaɲ,50_snake,,
uʔuʃ,55_mosquito,,
poʔoʃ,54_spider,,
ahkʃ►,49_fish,,
maʔtp►,128_rotten,,
ɒʔɒj,97_leaf,,
pəhʲ,100_flower,,
uhts,93_fruit,,
uhts,99_grass,,
naʔaʃ,81_earthsoil,,
tsaʔa,80_stone,,
puʔuʃ,83_sand,,
nəʔə,74_water,,
jeʔepʲ,173_flow,,<jeʔep-j run-GR 'runs'
məh nəʔə,76_sea,,<məh nəʔə  big water 
kaʔan,91_salt,,
tsahp,73_sky,,
poʔo,71_moon,,
mədzaʔa,72_star,,
tuʔup,84_rain,,
anaʔah,88_thunder,,
hədzuk,89_lightning,,
poh,86_wind,,
pohnaʃp,171_blow,,<poh-naʃ-p wind-blow-GR 'blows'
an,133_warm,,
ʃiʔiʃʲ,134_cold,,
həktəʔəts,135_dry,,<hək-təʔəts CAUS-dry 'dry!'
