Cotzocon,English Translation,Comment,
kəʔə,35_hand,,
ojaʔampə,7_left,,
anah,6_right,,
tekʲ,39_leg,,
jeʔep,140_walk,,<jeʔ-ep walk-GR 'walks'
tuʔuh,105_roadpath,,
hahtp,139_come,,<haht-p come-GR 'comes'
waʔagəmbihtp,146_turn,,<waʔagə-mbiht-p ?-turn-GR 'turns' (the whole body)
juʔunp,148_swim,,<juʔun-p swim-GR 'swims'
aʃəʔək,127_dirty,,
puʔuʃp,82_dust,,
nʔak,42_skin,,<n-ʔak POSS1-skin 'my skin'
jəʔəʃk,38_back,,
hoʔot,43_belly,,
pahk,41_bone,,
hoʔot,46_liver,,
tsiʔitsk,45_breast,,
kʲehk,36_shoulder,,<j-kehk POSS3-shoulder 'his shoulder'
hʲahtʲp,167_know,,<j-hahtʲ-p 3A-know-GR 'he knows'
maʔaptahp,168_think,,<maʔaptah-p think?-GR 'thinks'
tsəʔəkəpʲ,182_fear,,<tsəʔək-əpʲ fear-GR 'fears'
neʔepʲ,40_blood,,
kəbahk,27_head,,
joʔokn,37_neck,,
kəbahk waʔaj,28_hair,,<kəbahk waʔaj head hair 
həhp,30_nose,,
ʃahp,184_breathe,,ʃah-p breath-GR 'breaths'
ʃuʔukp,166_sniffsmell,,<ʃuʔuk-p smell-GR 'smells'
aʔaw,32_mouth,,
təʔəts,34_tooth,,
toʔots,33_tongue,,
ʃiʔikp,169_laugh,,<ʃiʔik-p laugh-GR 'laughs'
jaʔaʃp,170_cry,,<jaʔaʃ-p cry-GR 'cries'
əʔətsp,185_vomit,,<əʔəts-p vomit-GR 'vomits'
tsuhp,158_spit,,<tsuh-p spit-GR 'spits'
kaʔapʲ,153_eat,,<kaʔa-pʲ eat-GR 'eats'
piʔipʲ,152_chew,,<piʔi-pʲ chew-GR 'chews'
tokxʔotʲuʔump,196_cook,,<tokx-ʔotʲuʔun-p food-prepare-GR 'prepares food'
uʔukp,154_drink,,<uʔuk-p drink-GR 'drinks'
tsuʔutsp,155_bite,,<tsuʔuts-p bite-GR 'bites'
jahktsiʔitʲp,156_suck,,<jahk-tsiʔitʲ-p CAUS-suck-GR 'sucks'
taʔatsk,31_ear,,
