ID,phonetic_transcriptions,recording,sound_editing,reconstruction,Language_ID
Alotepec,,Ana Kondić,Darja Dërmaku-Appelganz,,Alotepec
Ayutla,,Ana Kondić,Darja Dërmaku-Appelganz,,Ayutla
Cacalotepec,,Ana Kondić,Darja Dërmaku-Appelganz,,Cacalotepec
Chapultenangospkr1,,Ana Kondić,Darja Dërmaku-Appelganz,,Chapultenangospkr1
Chapultenangospkr3,,Ana Kondić,Darja Dërmaku-Appelganz,,Chapultenangospkr3
Chapultenangospkr4,Ana Kondić,Ana Kondić,Hans-Jörg Bibiko,,Chapultenangospkr4
Cotzocon,,Ana Kondić,Darja Dërmaku-Appelganz,,Cotzocon
Franciscoleon,Ana Kondić,Ana Kondić,Hans-Jörg Bibiko,,Franciscoleon
Guichicovi,,Ana Kondić,Darja Dërmaku-Appelganz,,Guichicovi
Juquila,,Ana Kondić,Darja Dërmaku-Appelganz,,Juquila
Nizaviguiti,,Ana Kondić,Darja Dërmaku-Appelganz,,Nizaviguiti
Ocotepec,,Ana Kondić,Darja Dërmaku-Appelganz,,Ocotepec
Ocotepecspkr1,,Ana Kondić,Darja Dërmaku-Appelganz,,Ocotepecspkr1
Pantepec,,Ana Kondić,Darja Dërmaku-Appelganz,,Pantepec
Protomixe,,Ana Kondić,,Søren Wichmann,Protomixe
Protomixezoque,,Ana Kondić,,Søren Wichmann,Protomixezoque
Protooaxacamixe,,Ana Kondić,,Søren Wichmann,Protooaxacamixe
Puxmetacan,,Ana Kondić,Darja Dërmaku-Appelganz,,Puxmetacan
Rayon,Ana Kondić,Ana Kondić,Hans-Jörg Bibiko,,Rayon
Tamazulapam,,Ana Kondić,Darja Dërmaku-Appelganz,,Tamazulapam
Tapalapa,Ana Kondić,Ana Kondić,Hans-Jörg Bibiko,,Tapalapa
Tepantlali,,Ana Kondić,Darja Dërmaku-Appelganz,,Tepantlali
Tlahuitoltepec,,Ana Kondić,Darja Dërmaku-Appelganz,,Tlahuitoltepec
Totontepec,,Ana Kondić,Darja Dërmaku-Appelganz,,Totontepec
Zacatepec,,Ana Kondić,Darja Dërmaku-Appelganz,,Zacatepec
