ID,objid,fname,mimetype,size,Form_ID
dcbe9537e9c28982c685791b57b62bd5,EAEA0-E84E-5FAB-5F14-0,MiZo_Mixe_Oaxaca_NorthHighland_Totontepec_Ocotepec_Dl_001_one_uno.mp3,audio/mpeg,11060,Ocotepec-1_one-1
fcc02b7301db94ae382ec2328f2b00d3,EAEA0-E84E-5FAB-5F14-0,MiZo_Mixe_Oaxaca_NorthHighland_Totontepec_Ocotepec_Dl_001_one_uno.ogg,audio/ogg,23873,Ocotepec-1_one-1
a58f268c40f1f0f09231c5d66f7ac488,EAEA0-E84E-5FAB-5F14-0,MiZo_Mixe_Oaxaca_NorthHighland_Totontepec_Ocotepec_Dl_001_one_uno.wav,audio/wav,175094,Ocotepec-1_one-1
f954f581fe53ce852ba66d84e8e16a3d,EAEA0-1FAB-AE7B-D368-0,MiZo_Mixe_Oaxaca_NorthHighland_Totontepec_Ocotepec_Dl_002_two_dos.mp3,audio/mpeg,15284,Ocotepec-2_two-1
688ff18089f295475a09213688669929,EAEA0-1FAB-AE7B-D368-0,MiZo_Mixe_Oaxaca_NorthHighland_Totontepec_Ocotepec_Dl_002_two_dos.ogg,audio/ogg,34024,Ocotepec-2_two-1
d228a4aaeb9382107c474501f112caa3,EAEA0-1FAB-AE7B-D368-0,MiZo_Mixe_Oaxaca_NorthHighland_Totontepec_Ocotepec_Dl_002_two_dos.wav,audio/wav,253430,Ocotepec-2_two-1
6f769ba4f01ebf108be9818971f04e68,EAEA0-85DF-6363-01D6-0,MiZo_Mixe_Oaxaca_NorthHighland_Totontepec_Ocotepec_Dl_003_three_tres.mp3,audio/mpeg,13751,Ocotepec-3_three-1
d1ce663b68c0ce20c4c099d26e5d828d,EAEA0-85DF-6363-01D6-0,MiZo_Mixe_Oaxaca_NorthHighland_Totontepec_Ocotepec_Dl_003_three_tres.ogg,audio/ogg,30040,Ocotepec-3_three-1
fb11ee6563315e41321a6dba96cde059,EAEA0-85DF-6363-01D6-0,MiZo_Mixe_Oaxaca_NorthHighland_Totontepec_Ocotepec_Dl_003_three_tres.wav,audio/wav,226434,Ocotepec-3_three-1
ec444f8b59c30364164e99b3676ced58,EAEA0-A490-8033-A89E-0,MiZo_Mixe_Oaxaca_NorthHighland_Totontepec_Ocotepec_Dl_004_four_cuatro.mp3,audio/mpeg,17592,Ocotepec-4_four-1
c3813e93d14f6bf8a30b5f389ff8421d,EAEA0-A490-8033-A89E-0,MiZo_Mixe_Oaxaca_NorthHighland_Totontepec_Ocotepec_Dl_004_four_cuatro.ogg,audio/ogg,39473,Ocotepec-4_four-1
7c06653ae70f3aabad0e5f1b4b3738a9,EAEA0-A490-8033-A89E-0,MiZo_Mixe_Oaxaca_NorthHighland_Totontepec_Ocotepec_Dl_004_four_cuatro.wav,audio/wav,296952,Ocotepec-4_four-1
0cc40ea04b157862be05b85df2530843,EAEA0-7131-A082-CA0C-0,MiZo_Mixe_Oaxaca_NorthHighland_Totontepec_Ocotepec_Dl_051_year_anyo.mp3,audio/mpeg,14134,Ocotepec-5_year-1
