ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,LongName,IsProto
Alotepec,Alotepec,midl1241,Midland Mixe,,,17.09306,-95.854722,Mixe-Zoque,Mixe: Midland: Santa María Alotepec,False
Ayutla,Ayutla,tlah1239,Tlahuitoltepec Mixe,mxp,North America,17.03333,-96.06667,Mixe-Zoque,Mixe: South Highland: Core: Ayutla,False
Cacalotepec,Cacalotepec,midl1241,Midland Mixe,,,17.03358,-95.9572924,Mixe-Zoque,Mixe: Midland: South: Asunción Cacalotepec,False
Chapultenangospkr1,Chapultenango: spkr1,chap1265,Chapultenango,zos,North America,17.34,-93.131,Mixe-Zoque,Zoque: Chiapas: Francisco León: Chapultenango: Speaker 1,False
Chapultenangospkr3,Chapultenango: spkr3,chap1265,Chapultenango,zos,North America,17.3365,-93.1273,Mixe-Zoque,Zoque: Chiapas: Francisco León: Chapultenango: Speaker 3,False
Cotzocon,Cotzocón,mixe1283,,neq,,17.16667,-95.78333,,Mixe: Midland: North: San Juan Cotzocón,False
Guichicovi,Guichicovi,isth1238,Isthmus Mixe,mir,North America,16.96667,-95.08333,Mixe-Zoque,Mixe: Lowland: San Juan Guichicovi,False
Juquila,Juquila,juqu1238,Juquila Mixe,mxq,North America,16.93333,-95.91667,Mixe-Zoque,Mixe: Midland: South: San Juan Juquila,False
Nizaviguiti,Nizaviguiti,,,,,16.669,-95.871,,,False
Ocotepec,Ocotepec,ocot1241,Ocotepec Mixe,mto,North America,17.22722,-95.993611,Mixe-Zoque,Mixe: North Highland: Santa María Ocotepec,False
Ocotepecspkr1,Ocotepec: spkr1,ocot1242,Ocotepec,zoc,North America,17.2235,-93.1656,Mixe-Zoque,Zoque: Chiapas: Copainalá: Ocotepec: Speaker 1,False
Pantepec,Pantepec,rayo1235,Rayón Zoque,zor,North America,17.1879,-93.0497,Mixe-Zoque,Zoque: Chiapas: Rayón: Pantepec,False
Protomixe,Proto-Mixe,mixe1286,,,,16.375,-95.25,,,True
Protomixezoque,Proto-Mixe-Zoque,mixe1284,,,,16.475,-95.45,,,True
Protooaxacamixe,Proto-Oaxaca Mixe,oaxa1241,,,,16.275,-95.05,,,True
Puxmetacan,Puxmetacán,puxm1238,Puxmetecín,,North America,17.26722,-95.62583,Mixe-Zoque,Mixe: Midland: North: Santa María Puxmetacán,False
Tamazulapam,Tamazulápam,lowl1268,Lowland-Midland-South Highland Mixe,,,17.055,-96.06528,Mixe-Zoque,Mixe: South Highland: Core: Tamazulápam del Espíritu Santo,False
Tepantlali,Tepantlali,lowl1268,Lowland-Midland-South Highland Mixe,,,16.96667,-96.03333,Mixe-Zoque,Mixe: South Highland: Fringe: Santa María Tepantlali,False
Tlahuitoltepec,Tlahuitoltepec,tlah1239,Tlahuitoltepec Mixe,mxp,North America,17.09602,-96.0664434,Mixe-Zoque,Mixe: South Highland: Core: Santa María Tlahuitoltepec,False
Totontepec,Totontepec,toto1305,Totontepec Mixe,mto,North America,17.21667,-95.98333,Mixe-Zoque,Mixe: North Highland: Totontepec,False
Zacatepec,Zacatepec,zaca1240,Zacatepec,neq,North America,17.15868,-95.9143625,Mixe-Zoque,Mixe: Midland: North: Santiago Zacatepec,False
