ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Variant_Of
Protomixezoque-1_one-1,60002000000-1-0,Protomixezoque,1_one,tuʔ,tuʔ,,,Wichmann1995,,false,,,
Protomixezoque-1_one-2,60002000000-1-0,Protomixezoque,1_one,tum,tum,,,Wichmann1995,,false,,,Protomixezoque-1_one-1
Protomixezoque-2_two-1,60002000000-2-0,Protomixezoque,2_two,mets-,mets-,,,Wichmann1995,,false,,,
Protomixezoque-3_three-1,60002000000-3-0,Protomixezoque,3_three,tuk-,tuk-,,,Wichmann1995,,false,,,
Protomixezoque-4_four-1,60002000000-4-0,Protomixezoque,4_four,maktaːs-,maktaːs-,,,Wichmann1995,,false,,,
Protomixezoque-7_left-1,60002000000-82-0,Protomixezoque,7_left,ʔaw-nah-in,ʔaw-nah-in,,,Wichmann1995,,false,,,
Protomixezoque-8_i-1,60002000000-101-0,Protomixezoque,8_i,ʔïːtsi-ʔïts,ʔïːtsi-ʔïts,,,Wichmann1995,,false,,,
Protomixezoque-12_heshe-1,60002000000-106-0,Protomixezoque,12_heshe,he,he,,,Wichmann1995,,false,,,
Protomixezoque-12_heshe-2,60002000000-106-0,Protomixezoque,12_heshe,heʔ,heʔ,,,Wichmann1995,,false,,,Protomixezoque-12_heshe-1
Protomixezoque-15_what-1,60002000000-121-0,Protomixezoque,15_what,ti,ti,,,Wichmann1995,,false,,,
Protomixezoque-16_who-1,60002000000-122-0,Protomixezoque,16_who,pïn,pïn,,,Wichmann1995,,false,,,
Protomixezoque-20_this-1,60002000000-131-0,Protomixezoque,20_this,jïʔ,jïʔ,,,Wichmann1995,,false,,,
Protomixezoque-23_above-1,60002000000-138-0,Protomixezoque,23_above,kïs-mï,kïs-mï,,,Wichmann1995,,false,,,
Protomixezoque-27_head-1,60002000000-201-0,Protomixezoque,27_head,ko-pak,ko-pak,,,Wichmann1995,,false,,,
Protomixezoque-28_hair-1,60002000000-205-0,Protomixezoque,28_hair,waj,waj,,,Wichmann1995,,false,,,
Protomixezoque-28_hair-2,60002000000-205-0,Protomixezoque,28_hair,waʔj,waʔj,,,Wichmann1995,,false,,,Protomixezoque-28_hair-1
Protomixezoque-29_eye-1,60002000000-211-0,Protomixezoque,29_eye,win,win,,,Wichmann1995,,false,,,
Protomixezoque-30_nose-1,60002000000-212-0,Protomixezoque,30_nose,hïp,hïp,,,Wichmann1995,,false,,,
Protomixezoque-30_nose-2,60002000000-212-0,Protomixezoque,30_nose,hïpï,hïpï,,,Wichmann1995,,false,,,Protomixezoque-30_nose-1
Protomixezoque-32_mouth-1,60002000000-221-0,Protomixezoque,32_mouth,ʔaw,ʔaw,,,Wichmann1995,,false,,,
Protomixezoque-33_tongue-1,60002000000-223-0,Protomixezoque,33_tongue,toːts,toːts,,,Wichmann1995,,false,,,
Protomixezoque-34_tooth-1,60002000000-224-0,Protomixezoque,34_tooth,tïːts,tïːts,,,Wichmann1995,,false,,,
Protomixezoque-35_hand-1,60002000000-231-0,Protomixezoque,35_hand,kïʔ,kïʔ,,,Wichmann1995,,false,,,
Protomixezoque-37_neck-1,60002000000-241-0,Protomixezoque,37_neck,joʔk,joʔk,,,Wichmann1995,,false,,,
Protomixezoque-37_neck-2,60002000000-241-0,Protomixezoque,37_neck,joʔk-tu,joʔk-tu,,,Wichmann1995,,false,,,Protomixezoque-37_neck-1
Protomixezoque-39_leg-1,60002000000-252-0,Protomixezoque,39_leg,puj,puj,,,Wichmann1995,,false,,,
Protomixezoque-40_blood-1,60002000000-261-0,Protomixezoque,40_blood,nïʔpin,nïʔpin,,,Wichmann1995,,false,,,
Protomixezoque-41_bone-1,60002000000-262-0,Protomixezoque,41_bone,pak,pak,,,Wichmann1995,,false,,,
Protomixezoque-42_skin-1,60002000000-263-0,Protomixezoque,42_skin,ʔak,ʔak,,,Wichmann1995,,false,,,
Protomixezoque-42_skin-2,60002000000-263-0,Protomixezoque,42_skin,ʔakï,ʔakï,,,Wichmann1995,,false,,,Protomixezoque-42_skin-1
Protomixezoque-45_breast-1,60002000000-274-0,Protomixezoque,45_breast,tsuʔts-i,tsuʔts-i,,,Wichmann1995,,false,,,
