Alotepec,English Translation,Comment
kəʔəh,35_hand,
anɒh,7_left,
agɒʔɒɲ,6_right,
puʔuj,39_leg,
jeʔepʲ,140_walk,<jeʔep-j walk-GR 'walks'
tuʔuh,105_roadpath,
hat,139_come,<hat IMP 'come!'
ihʃəmbit,146_turn,<?
juɲ,148_swim,<juɲ IMP 'swim!'
aʃəʔək,127_dirty,
puʔʃ,82_dust,
ak,42_skin,
həʔəʃk,38_back,
hoʔot,43_belly,
pəhk,41_bone,
tiʔints,44_intestines,
hoʔot,46_liver,
tsitsk,45_breast,
kehkʲ,36_shoulder,
winmaj,168_think,<winmaj IMP 'think!'
tsəʔəkəw,182_fear,
nepʲ,40_blood,
kowahk,27_head,
joʔokn,37_neck,
kowaʔaj,28_hair,
həhp,30_nose,
ʃahəp,184_breathe,<ʃah-əp breathe-GR 'breathes'
tsukəp,166_sniffsmell,<tsuk-əp smell-GR 'smells'
aʔaw,32_mouth,
təʔəts,34_tooth,
toʔots,33_tongue,
ʃiʔikp,169_laugh,<ʃiʔik-p laugh-GR 'laughs'
jaʔaʃp,170_cry,<jaʔaʃ-p cry-GR 'cries'
əʔətsp,185_vomit,<əʔəts-p vomit-GR 'vomits'
nahtsuhə,158_spit,<nah-tsuh-ə ?-spit-IMP 'spit!'
kaj,153_eat,<kaj IMP 'eat!'
puʔuj,152_chew,<puʔuj IMP 'chew!'
tokʃpəʔəmbəh,196_cook,<tokʃ-pəmp-əh  food-put.on.fire-IMP  'put the food on fire!'
uʔuk,154_drink,<uʔuk IMP 'drink!'
tsuʔuts,155_bite,<tsuʔuts IMP 'bite!'
jahktsiʔits,156_suck,<jahk-tsiʔits CAUS-suck  IMP 'make suck!'
taʔatsk,31_ear,
mədow,165_hear,<mədow IMP 'hear!'
wiʔin,29_eye,
iʃ,164_see,<iʃ IMP 'see!'
mɒʔɒj,160_sleep,<mɒʔɒj IMP 'sleep!'
koʔoknə,145_liedown,<koʔokn-ə lie.down-IMP? 'lie down!'
komaʔuhk,159_dream,<ko-maʔaw-uhk ?-sleep-?  'dream!'
uʔuɲ,143_sit,<uʔuɲ IMP 'sit!'
tanə,142_stand,<tan-ə stand-IMP?  'stand!'
hɒʔɒj,60_person,
jajtʲəhk,61_man,
toʃtʲəhk,62_woman,
nawpiʔik,63_child,
məʔəmhaʔaj,67_husband,
koʔodəhk,68_wife,
taʔak,65_mother,
teʔetʲ,66_father,
təhk,102_house,
məʔəj,101_thatchroof,
ʃəʔəw,64_name,
